ID,My Sentiment Analysis,RoBERTa Sentiment Analysis
1237422308102303744,Neutral,Neutral
1237422366470307840,Neutral,Neutral
1237422423009636353,Positive,Positive 
1237422449651855361,Negative ,Negative
1237422455012184065,Neutral,Neutral
1237422457805508610,Negative ,Negative
1237422499010359298,Neutral,Negative
1237422499232722944,Negative ,Negative
1237422500016844800,Positive ,Positive 
1237422527426826244,Negative ,Negative
1237422539275722759,Negative ,Negative
1237422549241380870,Negative ,Neutral
1237422598293721088,Neutral,Negative
1237422650445586432,Negative ,Neutral
1237422652123381761,Neutral,Neutral
1237422729667674112,Negative ,Negative
1237422800094273537,Neutral ,Neutral
1237422803932123136,Neutral ,Neutral
1237422859267584000,Neutral ,Neutral
1237422868742496257,Negative ,Negative
1237422877919473664,Negative ,Negative
1237422898312359936,Negative,Negative
1237422939366178816,Positive,Positive 
1237422973029474304,Neutral,Negative
1237422976137670658,Neutral,Neutral
1237422979341926402,Neutral,Neutral
1237423001358020608,Neutral,Neutral
1237423018806325248,Negative,Negative
1237423026368544768,Positive ,Neutral
1237423067992928259,Negative,Negative
1237423092823179264,Neutral,Neutral
1237423104344850434,Negative,Negative
1237423132585144320,Neutral,Neutral
1237423135915458560,Negative,Negative
1237423160678658049,Negative,Negative
1237423165158105088,Neutral,Neutral
1237423185978626049,Neutral,Neutral
1237423193733955584,Negative,Negative
1237423245705478147,Negative,Negative
1237423259475419136,Neutral,Neutral
1237423270040948741,Neutral,Neutral
1237423335149101058,Negative,Negative
1237423352811335689,Negative,Neutral
1237423400110428164,Neutral,Neutral
1237423449192181762,Negative,Negative
1237423459115896832,Neutral,Negative
1237423462089621506,Negative,Negative
1237423469421367296,Neutral,Neutral
1237423487830163458,Negative,Negative
1237423492653596672,Negative,Negative
1237423519660728320,Neutral,Neutral
1237423578028466176,Neutral,Neutral
1237423587742580737,Negative,Negative
1237423605031538688,Neutral,Neutral
1237423620785418240,Neutral,Neutral
1237423625700925441,Negative,Negative
1237423701773234178,Neutral,Negative
1237423732265832448,Negative,Neutral
1237423742365687808,Negative,Positive 
1237423774997364736,Positive,Positive 
1237423779195826176,Positive,Positive 
1237423846875070469,Neutral,Negative
1237423869868347392,Negative,Negative
1237423915179356166,Neutral,Neutral
1237476025392652289,Negative,Neutral
1237476046280306694,Negative,Negative
1237476068367511559,Neutral,Neutral
1237476084834320384,Negative,Negative
1237476086512001026,Negative,Negative
1237476099472470016,Negative,Positive 
1237476127964200961,Negative,Negative
1237476147752992773,Negative,Negative
1237481758058315777,Negative,Negative
1237481773363277827,Negative,Negative
1237481908977766400,Negative,Negative
1237481910777057288,Positive,Positive 
1237487860271456258,Positive,Positive 
1237487935605407746,Neutral,Negative
1237487958292193280,Negative,Negative
1237487961047998467,Negative,Neutral
1237487971475038208,Negative,Negative
1237488007965523968,Negative,Neutral
1237488037862486016,Positive,Positive 
1237488105164124160,Negative,Negative
1237488114072838144,Neutral,Negative
1237488116354580480,Negative,Neutral
1237488141755449345,Neutral,Negative
1237488193479610369,Negative,Negative
1237488234453700613,Positive,Positive 
1237488276354871297,Negative,Negative
1237488380604305410,Positive,Positive 
1237488387352858626,Neutral,Negative
1237488418977992710,Negative,Negative
1237488493372280832,Negative,Positive 
1237488501165191168,Neutral ,Negative
1237488503019225089,Negative,Negative
1237488526960340993,Negative,Negative
1237488557884833793,Negative,Positive 
1237488570560057345,Negative,Negative
1237488594744496128,Negative,Negative
1237488604471087104,Neutral,Neutral
1237488684980752386,Negative,Negative
1237488730887180289,Negative,Negative
1237488744527204353,Negative,Negative
1237488772436168712,Negative,Neutral
1237488803838820355,Negative,Negative
1237488864664715265,Neutral,Neutral
1237488877671256065,Positive,Neutral
1237488888991678470,Negative,Neutral
1237488889461379078,Negative,Negative
1237488895476056065,Negative,Neutral
1237488903772409864,Negative,Negative
1237488962068979713,Negative,Neutral
